Id;CityId;Name;LastUpdate
1101;37;ABANA;2022-09-03 08:10:23.7715673
1102;20;ACIPAYAM;2022-09-03 08:09:34.1949704
1103;34;ADALAR;2022-09-03 08:12:01.3838758
1104;1;SEYHAN;2022-09-03 08:09:57.1833339
1105;2;MERKEZ;2022-09-03 08:10:33.3027678
1106;13;ADİLCEVAZ;2022-09-03 08:09:15.7459078
1107;46;AFŞİN;2022-09-03 08:11:35.6453829
1108;3;MERKEZ;2022-09-03 08:11:37.3715487
1109;15;AĞLASUN;2022-09-03 08:10:30.6324701
1110;23;AĞIN;2022-09-03 08:12:36.6462118
1111;4;MERKEZ;2022-09-03 08:10:03.0314439
1112;13;AHLAT;2022-09-03 08:10:01.2460014
1113;61;AKÇAABAT;2022-09-03 08:12:58.2507790
1114;44;AKÇADAĞ;2022-09-03 08:09:30.6623837
1115;63;AKÇAKALE;2022-09-03 08:11:28.6019591
1116;81;AKÇAKOCA;2022-09-03 08:11:30.0458391
1117;66;AKDAĞMADENİ;2022-09-03 08:11:35.8954880
1118;45;AKHİSAR;2022-09-03 08:12:34.5059262
1119;52;AKKUŞ;2022-09-03 08:13:16.9637075
1120;68;MERKEZ;2022-09-03 08:10:52.2772266
1121;7;AKSEKİ;2022-09-03 08:09:44.2300591
1122;42;AKŞEHİR;2022-09-03 08:12:30.8492491
1123;54;AKYAZI;2022-09-03 08:11:38.6088337
1124;19;ALACA;2022-09-03 08:13:02.0642920
1125;55;ALAÇAM;2022-09-03 08:11:51.5528383
1126;7;ALANYA;2022-09-03 08:11:15.2989741
1127;45;ALAŞEHİR;2022-09-03 08:10:46.9907617
1128;35;ALİAĞA;2022-09-03 08:09:43.6904644
1129;60;ALMUS;2022-09-03 08:09:28.8782067
1130;6;ALTINDAĞ;2022-09-03 08:11:58.1407254
1131;31;ALTINÖZÜ;2022-09-03 08:10:27.6761518
1132;43;ALTINTAŞ;2022-09-03 08:10:00.1660769
1133;28;ALUCRA;2022-09-03 08:12:17.5857101
1134;5;MERKEZ;2022-09-03 08:09:57.7811094
1135;33;ANAMUR;2022-09-03 08:10:47.8894740
1136;46;ANDIRIN;2022-09-03 08:09:41.0724326
1139;27;ARABAN;2022-09-03 08:12:42.1768714
1140;37;ARAÇ;2022-09-03 08:12:52.5969387
1141;61;ARAKLI;2022-09-03 08:11:00.7012335
1142;76;ARALIK;2022-09-03 08:09:30.5721636
1143;44;ARAPGİR;2022-09-03 08:11:52.4556318
1144;75;MERKEZ;2022-09-03 08:09:51.7129711
1145;8;ARDANUÇ;2022-09-03 08:09:21.9541925
1146;53;ARDEŞEN;2022-09-03 08:13:03.8119523
1147;8;ARHAVİ;2022-09-03 08:12:42.9625953
1148;44;ARGUVAN;2022-09-03 08:12:36.9071507
1149;36;ARPAÇAY;2022-09-03 08:12:05.3524989
1150;61;ARSİN;2022-09-03 08:11:41.0167423
1151;60;ARTOVA;2022-09-03 08:10:59.5278610
1152;8;MERKEZ;2022-09-03 08:10:15.6019149
1153;25;AŞKALE;2022-09-03 08:10:41.0794277
1154;32;ATABEY;2022-09-03 08:13:00.4711663
1155;50;AVANOS;2022-09-03 08:11:13.0350999
1156;57;AYANCIK;2022-09-03 08:11:26.7857740
1157;6;AYAŞ;2022-09-03 08:11:06.0039772
1158;52;AYBASTI;2022-09-03 08:12:20.3962359
1160;17;AYVACIK;2022-09-03 08:10:40.5900680
1161;10;AYVALIK;2022-09-03 08:09:14.1533382
1162;37;AZDAVAY;2022-09-03 08:09:45.4616229
1163;39;BABAESKİ;2022-09-03 08:11:57.2720641
1164;55;BAFRA;2022-09-03 08:10:47.2101348
1165;80;BAHÇE;2022-09-03 08:09:39.2845894
1166;34;BAKIRKÖY;2022-09-03 08:11:10.2187763
1167;6;BALA;2022-09-03 08:10:29.4277493
1169;10;BALYA;2022-09-03 08:09:30.7479156
1170;64;BANAZ;2022-09-03 08:11:46.0644413
1171;10;BANDIRMA;2022-09-03 08:12:51.6163314
1172;74;MERKEZ;2022-09-03 08:10:12.7151837
1173;23;BASKİL;2022-09-03 08:12:53.0099645
1174;72;MERKEZ;2022-09-03 08:09:54.1232149
1175;65;BAŞKALE;2022-09-03 08:09:54.8432931
1176;69;MERKEZ;2022-09-03 08:12:12.8932336
1177;19;BAYAT;2022-09-03 08:11:55.3238301
1178;35;BAYINDIR;2022-09-03 08:09:22.8041546
1179;56;BAYKAN;2022-09-03 08:11:41.4380021
1180;17;BAYRAMİÇ;2022-09-03 08:12:53.5394769
1181;35;BERGAMA;2022-09-03 08:12:45.6604344
1182;2;BESNİ;2022-09-03 08:10:09.1885233
1183;34;BEŞİKTAŞ;2022-09-03 08:13:16.4318729
1184;72;BEŞİRİ;2022-09-03 08:11:32.4641244
1185;34;BEYKOZ;2022-09-03 08:12:24.4491213
1186;34;BEYOĞLU;2022-09-03 08:09:30.4778563
1187;6;BEYPAZARI;2022-09-03 08:10:19.8148607
1188;42;BEYŞEHİR;2022-09-03 08:12:20.9135706
1189;73;BEYTÜŞŞEBAP;2022-09-03 08:11:57.9066474
1190;17;BİGA;2022-09-03 08:10:49.4243328
1191;10;BİGADİÇ;2022-09-03 08:10:17.8773062
1192;11;MERKEZ;2022-09-03 08:09:53.5590808
1193;12;MERKEZ;2022-09-03 08:12:38.8693635
1194;63;BİRECİK;2022-09-03 08:10:05.6692257
1195;21;BİSMİL;2022-09-03 08:11:06.8058145
1196;13;MERKEZ;2022-09-03 08:12:33.2270516
1197;48;BODRUM;2022-09-03 08:09:55.3576290
1198;66;BOĞAZLIYAN;2022-09-03 08:10:49.0079453
1199;14;MERKEZ;2022-09-03 08:11:07.2822849
1200;3;BOLVADİN;2022-09-03 08:09:20.5550601
1201;51;BOR;2022-09-03 08:09:55.2394211
1202;8;BORÇKA;2022-09-03 08:11:03.5169075
1203;35;BORNOVA;2022-09-03 08:10:37.6866382
1204;57;BOYABAT;2022-09-03 08:10:11.5428107
1205;17;BOZCAADA;2022-09-03 08:11:27.6417989
1206;9;BOZDOĞAN;2022-09-03 08:12:24.2231600
1207;42;BOZKIR;2022-09-03 08:11:34.4438031
1208;37;BOZKURT;2022-09-03 08:11:50.3991538
1209;63;BOZOVA;2022-09-03 08:11:35.0323674
1210;11;BOZÜYÜK;2022-09-03 08:10:46.7759051
1211;15;BUCAK;2022-09-03 08:09:16.4405962
1212;28;BULANCAK;2022-09-03 08:09:20.7401346
1213;49;BULANIK;2022-09-03 08:12:16.8789760
1214;20;BULDAN;2022-09-03 08:12:24.9842938
1215;15;MERKEZ;2022-09-03 08:09:23.7709363
1216;10;BURHANİYE;2022-09-03 08:10:11.8581081
1218;38;BÜNYAN;2022-09-03 08:10:32.7141009
1219;1;CEYHAN;2022-09-03 08:11:17.8395686
1220;63;CEYLANPINAR;2022-09-03 08:12:50.0723386
1221;37;CİDE;2022-09-03 08:11:20.9278842
1222;42;CİHANBEYLİ;2022-09-03 08:11:43.3476774
1223;73;CİZRE;2022-09-03 08:11:04.6410788
1224;20;ÇAL;2022-09-03 08:11:32.6659911
1225;51;ÇAMARDI;2022-09-03 08:11:04.4488319
1226;20;ÇAMELİ;2022-09-03 08:09:51.4330748
1227;6;ÇAMLIDERE;2022-09-03 08:11:18.2076793
1228;53;ÇAMLIHEMŞİN;2022-09-03 08:09:17.8411813
1229;17;ÇAN;2022-09-03 08:12:05.1249379
1230;17;MERKEZ;2022-09-03 08:10:40.2063499
1231;6;ÇANKAYA;2022-09-03 08:11:05.0461988
1232;18;MERKEZ;2022-09-03 08:10:08.2853299
1233;20;ÇARDAK;2022-09-03 08:09:49.2430723
1234;55;ÇARŞAMBA;2022-09-03 08:11:11.4806857
1235;25;ÇAT;2022-09-03 08:10:36.3055602
1236;65;ÇATAK;2022-09-03 08:12:49.3303433
1237;34;ÇATALCA;2022-09-03 08:09:40.1521987
1238;37;ÇATALZEYTİN;2022-09-03 08:10:51.8671359
1239;3;ÇAY;2022-09-03 08:12:14.6296029
1240;67;ÇAYCUMA;2022-09-03 08:11:02.8510787
1241;53;ÇAYELİ;2022-09-03 08:12:00.9147212
1242;66;ÇAYIRALAN;2022-09-03 08:11:24.6984607
1243;24;ÇAYIRLI;2022-09-03 08:10:42.6601512
1244;61;ÇAYKARA;2022-09-03 08:11:42.6978953
1245;66;ÇEKEREK;2022-09-03 08:13:01.5467871
1246;2;ÇELİKHAN;2022-09-03 08:11:39.3921854
1247;62;ÇEMİŞGEZEK;2022-09-03 08:10:00.0305334
1248;18;ÇERKEŞ;2022-09-03 08:09:17.6092441
1249;21;ÇERMİK;2022-09-03 08:10:09.9904814
1250;59;ÇERKEZKÖY;2022-09-03 08:09:36.1196734
1251;35;ÇEŞME;2022-09-03 08:13:11.5238640
1252;75;ÇILDIR;2022-09-03 08:13:14.8172145
1253;21;ÇINAR;2022-09-03 08:09:21.4122066
1254;40;ÇİÇEKDAĞI;2022-09-03 08:09:34.0056013
1255;26;ÇİFTELER;2022-09-03 08:12:08.8660479
1256;9;ÇİNE;2022-09-03 08:09:45.6035270
1257;20;ÇİVRİL;2022-09-03 08:12:09.0871123
1258;59;ÇORLU;2022-09-03 08:10:49.1838645
1259;19;MERKEZ;2022-09-03 08:10:37.4740357
1260;6;ÇUBUK;2022-09-03 08:10:54.8548497
1261;30;ÇUKURCA;2022-09-03 08:12:54.0323726
1262;42;ÇUMRA;2022-09-03 08:12:29.0074336
1263;21;ÇÜNGÜŞ;2022-09-03 08:12:11.4785772
1264;37;DADAY;2022-09-03 08:09:41.5604891
1265;44;DARENDE;2022-09-03 08:11:21.1518349
1266;48;DATÇA;2022-09-03 08:09:21.6471232
1267;3;DAZKIRI;2022-09-03 08:10:03.6869158
1268;71;DELİCE;2022-09-03 08:10:34.6964976
1269;45;DEMİRCİ;2022-09-03 08:11:08.4554094
1270;39;DEMİRKÖY;2022-09-03 08:11:08.2305574
1272;28;DERELİ;2022-09-03 08:09:59.8704413
1273;47;DERİK;2022-09-03 08:12:59.0462090
1274;50;DERİNKUYU;2022-09-03 08:12:55.6445690
1275;38;DEVELİ;2022-09-03 08:10:54.4607035
1276;67;DEVREK;2022-09-03 08:11:10.7433753
1277;37;DEVREKANİ;2022-09-03 08:11:00.3231396
1278;21;DİCLE;2022-09-03 08:10:40.9158723
1279;36;DİGOR;2022-09-03 08:13:12.3213947
1280;35;DİKİLİ;2022-09-03 08:09:38.2499569
1281;3;DİNAR;2022-09-03 08:10:52.9046494
1282;58;DİVRİĞİ;2022-09-03 08:10:54.2572149
1283;4;DİYADİN;2022-09-03 08:09:14.7922767
1285;42;DOĞANHİSAR;2022-09-03 08:12:57.1718703
1286;44;DOĞANŞEHİR;2022-09-03 08:11:32.8623708
1287;4;DOĞUBAYAZIT;2022-09-03 08:10:35.7651257
1288;43;DOMANİÇ;2022-09-03 08:11:05.4268244
1289;31;DÖRTYOL;2022-09-03 08:09:21.7918631
1290;57;DURAĞAN;2022-09-03 08:10:46.5791207
1291;10;DURSUNBEY;2022-09-03 08:10:24.3350176
1292;81;MERKEZ;2022-09-03 08:13:10.6904016
1293;17;ECEABAT;2022-09-03 08:12:15.5671372
1294;10;EDREMİT;2022-09-03 08:11:28.3950114
1295;22;MERKEZ;2022-09-03 08:10:50.2850301
1296;78;EFLANİ;2022-09-03 08:10:28.7276076
1297;32;EĞİRDİR;2022-09-03 08:12:47.4410346
1298;23;MERKEZ;2022-09-03 08:09:27.3826017
1299;46;ELBİSTAN;2022-09-03 08:10:07.6250366
1300;18;ELDİVAN;2022-09-03 08:10:22.3238040
1301;4;ELEŞKİRT;2022-09-03 08:09:39.1628891
1302;6;ELMADAĞ;2022-09-03 08:09:43.2843450
1303;7;ELMALI;2022-09-03 08:12:32.1774277
1304;43;EMET;2022-09-03 08:10:03.9458793
1306;3;EMİRDAĞ;2022-09-03 08:13:09.2370147
1307;22;ENEZ;2022-09-03 08:11:40.8132325
1308;60;ERBAA;2022-09-03 08:11:31.5586875
1309;65;ERCİŞ;2022-09-03 08:10:35.9781015
1310;10;ERDEK;2022-09-03 08:09:17.1612957
1311;33;ERDEMLİ;2022-09-03 08:12:56.6558612
1312;42;EREĞLİ;2022-09-03 08:10:56.7875049
1313;67;EREĞLİ;2022-09-03 08:09:14.8901395
1314;57;ERFELEK;2022-09-03 08:09:16.0741711
1315;21;ERGANİ;2022-09-03 08:10:07.7634345
1316;70;ERMENEK;2022-09-03 08:09:45.0756612
1317;56;ERUH;2022-09-03 08:10:38.3791758
1318;24;MERKEZ;2022-09-03 08:09:46.4483933
1320;28;ESPİYE;2022-09-03 08:09:53.1283673
1321;78;ESKİPAZAR;2022-09-03 08:10:10.3335707
1323;64;EŞME;2022-09-03 08:09:52.0557484
1324;28;EYNESİL;2022-09-03 08:09:19.3212054
1325;34;EYÜPSULTAN;2022-09-03 08:12:04.3109765
1326;17;EZİNE;2022-09-03 08:09:43.4053791
1327;34;FATİH;2022-09-03 08:09:37.4342259
1328;52;FATSA;2022-09-03 08:11:12.4114226
1329;1;FEKE;2022-09-03 08:12:36.3918431
1330;38;FELAHİYE;2022-09-03 08:09:49.0048068
1331;48;FETHİYE;2022-09-03 08:11:07.5020841
1332;53;FINDIKLI;2022-09-03 08:10:23.9781658
1333;7;FİNİKE;2022-09-03 08:12:17.1148961
1334;35;FOÇA;2022-09-03 08:11:22.2719312
1336;34;GAZİOSMANPAŞA;2022-09-03 08:10:03.8112944
1337;7;GAZİPAŞA;2022-09-03 08:09:38.1389172
1338;41;GEBZE;2022-09-03 08:12:27.7434360
1339;43;GEDİZ;2022-09-03 08:13:06.1356218
1340;17;GELİBOLU;2022-09-03 08:09:49.3671634
1341;32;GELENDOST;2022-09-03 08:12:28.1912028
1342;58;GEMEREK;2022-09-03 08:10:24.6212881
1343;16;GEMLİK;2022-09-03 08:10:35.3787442
1344;12;GENÇ;2022-09-03 08:11:21.6546568
1345;72;GERCÜŞ;2022-09-03 08:12:15.0994665
1346;14;GEREDE;2022-09-03 08:10:10.6328831
1347;2;GERGER;2022-09-03 08:11:36.9176380
1348;9;GERMENCİK;2022-09-03 08:09:53.9451427
1349;57;GERZE;2022-09-03 08:12:38.5808724
1350;65;GEVAŞ;2022-09-03 08:10:57.3148657
1351;54;GEYVE;2022-09-03 08:09:47.6548628
1352;28;MERKEZ;2022-09-03 08:13:02.6968973
1353;46;GÖKSUN;2022-09-03 08:11:39.8650053
1354;2;GÖLBAŞI;2022-09-03 08:11:43.1251764
1355;41;GÖLCÜK;2022-09-03 08:10:53.9846850
1356;75;GÖLE;2022-09-03 08:09:29.4281837
1357;15;GÖLHİSAR;2022-09-03 08:11:23.0409389
1358;52;GÖLKÖY;2022-09-03 08:09:59.3280304
1359;11;GÖLPAZARI;2022-09-03 08:12:33.7944525
1360;10;GÖNEN;2022-09-03 08:12:23.9910477
1361;28;GÖRELE;2022-09-03 08:12:30.5962702
1362;45;GÖRDES;2022-09-03 08:10:16.6522886
1363;5;GÖYNÜCEK;2022-09-03 08:11:13.6532091
1364;14;GÖYNÜK;2022-09-03 08:09:43.1474654
1365;6;GÜDÜL;2022-09-03 08:10:21.7254882
1366;33;GÜLNAR;2022-09-03 08:12:06.4652519
1367;50;GÜLŞEHİR;2022-09-03 08:09:50.9447773
1368;5;GÜMÜŞHACIKÖY;2022-09-03 08:11:59.1547026
1369;29;MERKEZ;2022-09-03 08:09:37.8794546
1370;7;GÜNDOĞMUŞ;2022-09-03 08:12:56.9072173
1371;20;GÜNEY;2022-09-03 08:09:47.8875349
1372;65;GÜRPINAR;2022-09-03 08:09:25.3792961
1373;58;GÜRÜN;2022-09-03 08:13:16.1887608
1374;50;HACIBEKTAŞ;2022-09-03 08:11:43.5573822
1375;42;HADİM;2022-09-03 08:10:39.9947348
1376;58;HAFİK;2022-09-03 08:13:05.5756515
1377;30;MERKEZ;2022-09-03 08:12:18.3937501
1378;63;HALFETİ;2022-09-03 08:12:49.5868177
1379;4;HAMUR;2022-09-03 08:10:12.1892602
1380;75;HANAK;2022-09-03 08:12:48.2507225
1381;21;HANİ;2022-09-03 08:13:13.1382217
1382;31;HASSA;2022-09-03 08:09:56.8753708
1384;10;HAVRAN;2022-09-03 08:10:01.6177380
1385;22;HAVSA;2022-09-03 08:11:47.8655003
1386;55;HAVZA;2022-09-03 08:10:43.1596267
1387;6;HAYMANA;2022-09-03 08:10:18.9666168
1388;59;HAYRABOLU;2022-09-03 08:09:25.8970369
1389;21;HAZRO;2022-09-03 08:11:30.2406962
1390;44;HEKİMHAN;2022-09-03 08:12:11.2515751
1391;54;HENDEK;2022-09-03 08:09:59.0688848
1392;25;HINIS;2022-09-03 08:13:03.4824224
1393;63;HİLVAN;2022-09-03 08:11:16.6547922
1394;13;HİZAN;2022-09-03 08:10:27.8932424
1395;8;HOPA;2022-09-03 08:12:55.3907047
1396;25;HORASAN;2022-09-03 08:13:11.7933406
1397;62;HOZAT;2022-09-03 08:09:42.9621400
1398;76;MERKEZ;2022-09-03 08:11:51.3345351
1399;18;ILGAZ;2022-09-03 08:11:48.0774086
1400;42;ILGIN;2022-09-03 08:13:06.6470700
1401;32;MERKEZ;2022-09-03 08:10:37.2094594
1403;73;İDİL;2022-09-03 08:11:12.8388833
1404;3;İHSANİYE;2022-09-03 08:11:20.3824895
1405;53;İKİZDERE;2022-09-03 08:10:48.2695260
1406;24;İLİÇ;2022-09-03 08:13:13.9683282
1407;58;İMRANLI;2022-09-03 08:11:52.2319743
1408;17;GÖKÇEADA;2022-09-03 08:10:55.0298838
1409;38;İNCESU;2022-09-03 08:10:28.9230298
1410;37;İNEBOLU;2022-09-03 08:12:24.7362792
1411;16;İNEGÖL;2022-09-03 08:10:38.7519346
1412;22;İPSALA;2022-09-03 08:10:05.8058197
1413;31;İSKENDERUN;2022-09-03 08:10:11.7171200
1414;19;İSKİLİP;2022-09-03 08:09:17.2472905
1415;27;İSLAHİYE;2022-09-03 08:11:33.8500015
1416;25;İSPİR;2022-09-03 08:11:54.4208647
1418;10;İVRİNDİ;2022-09-03 08:13:04.6555119
1420;16;İZNİK;2022-09-03 08:10:03.1796517
1421;34;KADIKÖY;2022-09-03 08:09:33.1117557
1422;42;KADINHANI;2022-09-03 08:10:21.8716220
1423;80;KADİRLİ;2022-09-03 08:11:29.2368914
1424;36;KAĞIZMAN;2022-09-03 08:11:53.7503210
1425;2;KAHTA;2022-09-03 08:09:31.0110218
1426;20;KALE;2022-09-03 08:13:18.6361656
1427;6;KALECİK;2022-09-03 08:10:26.9463266
1428;53;KALKANDERE;2022-09-03 08:10:01.7493869
1429;40;KAMAN;2022-09-03 08:09:19.2293730
1430;41;KANDIRA;2022-09-03 08:09:43.5770867
1431;58;KANGAL;2022-09-03 08:09:18.6632713
1432;35;KARABURUN;2022-09-03 08:10:58.0392870
1433;78;MERKEZ;2022-09-03 08:12:33.5338438
1434;16;KARACABEY;2022-09-03 08:11:15.5398836
1435;9;KARACASU;2022-09-03 08:10:30.7922613
1436;64;KARAHALLI;2022-09-03 08:10:40.3778071
1437;1;KARAİSALI;2022-09-03 08:10:44.8714878
1438;23;KARAKOÇAN;2022-09-03 08:10:04.8863632
1439;70;MERKEZ;2022-09-03 08:10:08.1348097
1440;41;KARAMÜRSEL;2022-09-03 08:09:57.4377094
1441;42;KARAPINAR;2022-09-03 08:09:16.5319242
1442;54;KARASU;2022-09-03 08:10:25.8503819
1443;1;KARATAŞ;2022-09-03 08:10:11.9994651
